	CH573701	CH573801	CH573901	CH574001	CH574101	CH574401	CH574601	CH574801	CH575001	CH575101	CH575201	CH575301	CH575401	CH576201	CH576301	CH576401	CH576501	CH576601	CH576701	CH576711
ENSG00000143368	3627	3858	2900	2214	3508	8282	4049	2882	2358	2664	3646	2536	8196	2864	2859	1579	3717	3950	3623	5872
ENSG00000143369	234	795	579	180	150	585	334	282	170	177	394	188	994	335	740	168	412	247	513	822
ENSG00000143373	2881	2717	2529	1348	2495	5583	3284	2386	1850	2653	2886	2743	4599	2127	1671	1250	3056	3536	2148	3528
ENSG00000143374	1402	1383	1263	1054	1361	2631	1669	1296	817	1109	1924	962	2440	939	844	554	1606	1697	1168	1731
ENSG00000143375	5915	5023	3023	2229	9089	12766	5789	4697	2325	1539	4231	3467	8234	3132	3489	2020	3984	6079	1990	5706
ENSG00000143376	2813	3201	2529	1903	2002	4536	4011	2935	2229	3373	3939	2539	5023	2953	2772	1650	3824	3859	2864	4340
ENSG00000143379	1641	2186	2028	1487	1346	3725	2623	1792	1576	2303	3370	1937	4050	1990	1351	1057	2960	2704	1482	3468
ENSG00000143382	120	430	203	58	21	268	111	112	110	317	142	227	512	212	522	49	154	117	176	567
ENSG00000143384	24573	40611	30726	7079	13079	61067	14970	12046	15495	18530	25774	44597	30841	28981	30958	11332	17666	40497	38292	63833
ENSG00000143387	4604	7521	6118	3911	3599	6653	6577	4551	3402	1499	4127	3880	10914	4211	4227	2508	4911	9313	6431	5709
ENSG00000143390	1915	3655	2739	1246	1156	3706	2595	2383	2116	2367	3424	2650	6178	2475	2102	1102	1911	2375	2447	3649
ENSG00000143393	5247	5639	4475	2998	3572	9687	5903	4484	3820	4607	5919	4820	9324	4236	4106	2201	4608	6946	5709	8909
ENSG00000143398	2209	3050	3008	1546	2927	6380	3076	2332	2343	3465	4686	3857	6505	3032	2448	1403	3757	5816	2780	4682
ENSG00000143401	828	1610	959	495	506	1295	1275	585	943	2673	1103	1313	2354	1741	1679	583	740	1250	441	3456
ENSG00000143409	1419	2661	1604	1196	545	2110	2101	1906	1154	405	1840	1278	1359	1736	1358	665	2156	1965	2711	2500
ENSG00000143412	118	179	98	96	67	144	142	107	56	41	119	64	77	100	101	44	105	169	110	263
ENSG00000143416	2841	6834	1636	1106	1980	4645	4619	4243	2069	2839	3586	1696	4559	3684	4376	757	2919	3987	3274	8936
ENSG00000143418	13844	7110	9274	5772	10327	30102	11494	12122	8409	8580	13519	9768	20625	9268	8726	4379	11636	16768	15754	13259
ENSG00000143420	8761	7677	6536	4971	7593	18576	8858	6170	5241	7938	12310	8993	14758	6613	6892	3627	9122	9953	7674	13745
ENSG00000143429	434	596	243	260	148	707	686	351	20	19	548	298	1027	200	430	161	458	498	492	1007
ENSG00000143434	169	384	284	183	89	634	300	165	330	751	301	228	643	196	199	111	338	164	168	647
ENSG00000143436	2079	2282	2025	1823	1743	3475	2598	1726	1277	1495	2092	1678	4710	1733	1640	1119	2757	2425	1884	3271
ENSG00000143442	4127	4803	5172	2824	3936	8873	7256	4463	3712	5967	8505	6046	8400	5345	3731	2888	7162	6783	4278	7893
ENSG00000143443	1239	910	547	595	1242	2017	893	658	447	293	765	580	1116	346	479	273	866	824	903	925
ENSG00000143450	1097	518	256	170	554	1005	590	376	217	71	137	127	641	222	550	152	954	885	800	468
ENSG00000143452	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1
ENSG00000143457	4480	3846	5790	2652	2661	6115	4384	4247	2353	2835	6398	3782	4336	2715	2042	1849	4165	4276	4983	3868
ENSG00000143466	235	565	215	106	43	265	424	193	269	525	50	78	718	361	204	51	79	477	304	969
ENSG00000143469	25	1	11	1	0	0	5	3	1	0	0	1	1	1	8	4	2	8	0	6
ENSG00000143473	15	26	5	14	5	20	9	8	7	7	15	10	402	72	26	10	26	14	11	19
ENSG00000143479	267	565	188	136	80	546	275	127	157	180	328	252	574	358	473	123	201	339	237	2163
ENSG00000143486	2670	3759	3328	3463	2581	2558	3891	3309	2318	2160	4988	2212	5488	2766	2575	2314	3849	3345	3654	5254
ENSG00000143493	1320	1142	878	687	1292	1888	1293	1382	939	1145	1216	1395	2386	1087	755	476	1449	1443	963	1786
ENSG00000143494	131	568	313	111	76	335	706	326	164	125	554	176	684	464	280	91	535	355	116	473
ENSG00000143498	78	245	156	93	149	189	246	199	246	569	226	247	301	293	216	68	206	194	146	312
ENSG00000143499	1995	1564	1090	1038	778	3477	1546	1850	862	640	1551	1582	3119	1085	1290	705	1665	2986	1860	2677
ENSG00000143502	532	567	226	516	174	819	888	468	100	110	122	157	1023	531	654	304	709	451	234	2178
ENSG00000143507	622	749	406	98	183	857	341	321	292	234	414	1201	745	486	431	294	218	1273	1090	1871
ENSG00000143512	6	2	4	2	0	5	21	49	6	3	5	13	6	17	6	1	1	10	5	19
ENSG00000143514	2034	2990	2243	1198	1208	2448	2779	2450	2074	2580	3860	2523	4127	2517	2222	1365	2999	3221	2601	3495
ENSG00000143515	8861	4107	3556	2206	2276	7956	4093	6267	2455	1943	3275	2062	10193	2465	4343	1916	2344	6372	14933	6716
ENSG00000143520	5	1	0	1	0	0	0	4	1	2	5	2	4	0	0	3	1	8	0	7
ENSG00000143536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000143537	10788	9995	6518	4805	3338	16141	9034	7277	6687	6026	7064	4264	22904	5815	5157	2879	6560	12020	15418	13957
ENSG00000143543	8623	6521	5641	3906	7067	12902	6597	5908	4308	3807	4867	5894	9711	5011	4819	2727	6266	8095	8862	9119
ENSG00000143545	6217	6275	3814	3484	4640	7223	6086	4769	3523	2291	4901	3179	7430	3195	4641	2111	4736	6454	4594	8733
ENSG00000143546	89	338	60	29	25	178	90	16	60	43	50	60	155	82	279	33	51	92	95	435
ENSG00000143549	7253	9737	6925	5725	8044	19608	8880	6762	5656	9934	10602	6675	20484	6788	6337	3610	8559	10103	6996	13681
ENSG00000143552	1	2	1	0	7	11	11	0	2	0	2	3	1	0	1	3	0	2	0	1
ENSG00000143553	1993	1398	1018	808	1183	2703	1417	1059	789	625	1657	928	2432	879	868	479	1062	1628	1656	2257
ENSG00000143554	815	1024	392	263	722	1186	1133	478	364	632	917	560	1173	531	730	230	678	690	293	1929
ENSG00000143556	2	57	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	5
ENSG00000143569	6389	7011	6234	4025	5257	14457	8241	5908	5960	8778	11644	7544	16484	6700	5321	3720	8942	9534	6160	9687
ENSG00000143570	6639	7705	7223	3787	4045	11389	7164	5603	4558	6753	4946	4964	10977	4863	5571	2800	6483	8604	6548	10338
ENSG00000143575	4620	3672	2689	2667	3799	6492	3623	3497	2286	2343	4439	2815	7504	2672	2821	1571	3785	4559	4777	5935
